ID,flock_number,birth_year,palpation_before,body_development,CUT_before,DIB_placement,DIB_extraction,reproduction_type,reproduction_execution,palpation_after,CUT_after,reproduction_released,brood_sex,DIB_placement_count,DIB_extraction_count,success_insemination_count,fail_insemination_count,success_natural_count,fail_natural_count,pregnant_after_insemination_count,empty_after_insemination_count,pregnant_after_natural_count,empty_after_natural_count
625,1061,2011,Vacia,NULL,NULL,14/11/2015,21/11/2015,Natural,27/11/2015,Preñada,NULL,30/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
626,2067,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,11/04/2017,NULL,0,0,0,0,0,0,0,0,0,0
627,2074,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,27/02/2017,NULL,1,1,1,0,0,0,1,0,0,0
628,2092,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,01/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
629,2102,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,23/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
630,2120,2012,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
631,3015,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,21/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
632,3043,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
633,3044,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,26/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
634,3047,2013,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,26/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
635,3054,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,03/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
636,3055,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,23/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
637,3059,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,13/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
638,3083,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Preñada,NULL,01/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
639,3398,2013,Vacia,NULL,NULL,NULL,NULL,Inseminacion,27/11/2015,Preñada,NULL,22/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
640,8116,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,28/08/2016,NULL,1,1,0,1,0,1,0,1,0,1
641,9131,2009,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,23/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
642,9265,2009,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,29/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
643,9316,2009,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,28/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
644,9593,2006,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
645,8381,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,08/03/2017,NULL,0,0,0,0,0,0,0,0,0,0
646,8118,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,17/03/2017,NULL,0,0,0,0,0,0,0,0,0,0
647,8132,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,31/08/2016,NULL,1,0,0,0,0,1,0,0,0,1
648,8170,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,31/08/2016,NULL,0,0,0,0,0,0,0,0,0,0
649,8283,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,NULL,NULL,0,0,0,0,0,2,0,0,0,2
650,8370,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,06/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
651,8429,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,02/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
652,8213,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,11/04/2017,NULL,0,0,0,0,0,0,0,0,0,0
653,8089,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,01/09/2016,NULL,0,0,0,0,0,0,0,0,0,0
654,3031,2013,Vacia,NULL,NULL,NULL,NULL,Natural,27/11/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
655,6399,2006,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
656,6701,2006,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,NULL,NULL,1,1,1,0,0,0,1,0,0,0
657,8030,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,04/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
658,8350,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,02/11/2016,NULL,1,1,0,1,0,0,0,1,0,0
659,8369,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,NULL,NULL,1,1,1,0,0,0,1,0,0,0
660,8372,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,18/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
661,8445,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,04/11/2016,NULL,1,1,1,0,0,0,1,0,0,0
662,126,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,08/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
663,8047,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,14/02/2017,NULL,0,0,0,0,0,0,0,0,0,0
664,8145,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,02/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
665,8172,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,31/08/2016,NULL,1,1,0,1,0,0,0,1,0,0
666,8397,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,09/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
667,8579,2008,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Vacia,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
668,8596,2008,Vacia,NULL,NULL,14/11/2015,21/11/2015,Inseminacion,27/11/2015,Preñada,NULL,24/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
669,273,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,28/10/2016,NULL,0,0,0,0,0,0,0,0,0,0
670,198,2010,Vacia,NULL,NULL,NULL,NULL,Natural,22/12/2015,Preñada,NULL,16/11/2016,NULL,0,0,0,0,0,0,0,0,0,0
